"상태","점수","요양기관명","구분","지역","시도","시군구","주소","대표번호","요양기관번호","지도ID","가격정보","좌표","부족항목","상세URL후보","키워드1","키워드2","키워드3"
"상세페이지 우선","7","뉴센스의원","의원","마포구","서울특별시","마포구","서울 마포구 신촌로 170 이대푸르지오시티 3층","02-3272-8885","12339695","clinic_12339695","있음","있음","","/clinic/12339695-뉴센스의원/","마포구 마운자로 가격","마포구 위고비 가격","마포구 마운자로 지도"
"상세페이지 우선","6","서울바램의원","의원","서대문구","서울특별시","서대문구","서울특별시 서대문구 신촌역로 22-5 신촌 청년푸드스토어 2층 53호","02-365-7575","","clinic_excel_001_item","있음","있음","요양기관번호","/clinic/clinic_excel_001_item-서울바램의원/","서대문구 마운자로 가격","서대문구 위고비 가격","서대문구 마운자로 지도"
"상세페이지 우선","6","위비앙병원","의원","마포구","서울특별시","마포구","서울특별시 마포구 아현동 346-56","02-6207-8811","","clinic_excel_002_item","있음","있음","요양기관번호","/clinic/clinic_excel_002_item-위비앙병원/","마포구 마운자로 가격","마포구 위고비 가격","마포구 마운자로 지도"
"상세페이지 우선","5","연세위더스의원","의원","마포구","서울특별시","마포구","","02-323-1194","","clinic_excel_003_item","있음","있음","요양기관번호, 주소","/clinic/clinic_excel_003_item-연세위더스의원/","마포구 마운자로 가격","마포구 위고비 가격","마포구 마운자로 지도"
"상세페이지 우선","4","낙성대또본의원","의원","관악구","서울특별시","관악구","","","","clinic_excel_004_item","있음","있음","요양기관번호, 주소, 전화","/clinic/clinic_excel_004_item-낙성대또본의원/","관악구 마운자로 가격","관악구 위고비 가격","관악구 마운자로 지도"
"상세페이지 우선","4","서여의도의원","의원","영등포구","서울특별시","영등포구","","","","clinic_excel_005_item","있음","있음","요양기관번호, 주소, 전화","/clinic/clinic_excel_005_item-서여의도의원/","영등포구 마운자로 가격","영등포구 위고비 가격","영등포구 마운자로 지도"
"상세페이지 우선","4","로하스의원","의원","영등포구","서울특별시","영등포구","","","","clinic_excel_006_item","있음","있음","요양기관번호, 주소, 전화","/clinic/clinic_excel_006_item-로하스의원/","영등포구 마운자로 가격","영등포구 위고비 가격","영등포구 마운자로 지도"
"상세페이지 우선","4","닥터킴이비인후과의원","의원","영등포구","서울특별시","영등포구","","","","clinic_excel_007_item","있음","있음","요양기관번호, 주소, 전화","/clinic/clinic_excel_007_item-닥터킴이비인후과의원/","영등포구 마운자로 가격","영등포구 위고비 가격","영등포구 마운자로 지도"
"지역 보강 후 가능","3","아이엠유의원","의원","","","","","","","clinic_excel_008_item","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/clinic_excel_008_item-아이엠유의원/","마운자로 가격","위고비 가격","마운자로 지도"
"상세페이지 우선","4","밴스의원","의원","용산구","서울특별시","용산구","","","","clinic_excel_009_item","있음","있음","요양기관번호, 주소, 전화","/clinic/clinic_excel_009_item-밴스의원/","용산구 마운자로 가격","용산구 위고비 가격","용산구 마운자로 지도"
"지역 보강 후 가능","3","덕은365의원","의원","","","","","","","clinic_excel_010_365","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/clinic_excel_010_365-덕은365의원/","마운자로 가격","위고비 가격","마운자로 지도"
"지역 보강 후 가능","3","다시봄의원","의원","","","","","","","clinic_excel_011_item","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/clinic_excel_011_item-다시봄의원/","마운자로 가격","위고비 가격","마운자로 지도"
"지역 보강 후 가능","3","필모어의원","의원","","","","","","","clinic_excel_012_item","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/clinic_excel_012_item-필모어의원/","마운자로 가격","위고비 가격","마운자로 지도"
"지역 보강 후 가능","3","종로광장정형외과","의원","","","","","","","clinic_excel_013_item","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/clinic_excel_013_item-종로광장정형외과/","마운자로 가격","위고비 가격","마운자로 지도"
"지역 보강 후 가능","3","목동기운찬마취통증의학과의원","의원","","","","","","","clinic_excel_014_item","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/clinic_excel_014_item-목동기운찬마취통증의학과의원/","마운자로 가격","위고비 가격","마운자로 지도"
"지역 보강 후 가능","3","엄소아과의원","의원","","","","","","","clinic_excel_015_item","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/clinic_excel_015_item-엄소아과의원/","마운자로 가격","위고비 가격","마운자로 지도"
"지역 보강 후 가능","3","웰빙내과의원","의원","","","","","","","clinic_excel_016_item","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/clinic_excel_016_item-웰빙내과의원/","마운자로 가격","위고비 가격","마운자로 지도"
"지역 보강 후 가능","3","미래365가정의학과의원","의원","","","","","","","clinic_excel_017_365","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/clinic_excel_017_365-미래365가정의학과의원/","마운자로 가격","위고비 가격","마운자로 지도"
"지역 보강 후 가능","3","서울투탑재활의학과","의원","","","","","","","clinic_excel_018_item","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/clinic_excel_018_item-서울투탑재활의학과/","마운자로 가격","위고비 가격","마운자로 지도"
"지역 보강 후 가능","3","샤프성형외과의원","의원","","","","","","","clinic_excel_019_item","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/clinic_excel_019_item-샤프성형외과의원/","마운자로 가격","위고비 가격","마운자로 지도"
"상세페이지 우선","4","삼성신내과의원","의원","광진구","서울특별시","광진구","","","","clinic_excel_020_item","있음","있음","요양기관번호, 주소, 전화","/clinic/clinic_excel_020_item-삼성신내과의원/","광진구 마운자로 가격","광진구 위고비 가격","광진구 마운자로 지도"
"상세페이지 우선","4","강서아이엠유의원","의원","강서구","서울특별시","강서구","","","","clinic_excel_021_item","있음","있음","요양기관번호, 주소, 전화","/clinic/clinic_excel_021_item-강서아이엠유의원/","강서구 마운자로 가격","강서구 위고비 가격","강서구 마운자로 지도"
"지역 보강 후 가능","3","강동이엠365의원","의원","","","","","","","clinic_excel_022_365","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/clinic_excel_022_365-강동이엠365의원/","마운자로 가격","위고비 가격","마운자로 지도"
"지역 보강 후 가능","3","서울수정형외과의원","의원","","","","","","","clinic_excel_023_item","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/clinic_excel_023_item-서울수정형외과의원/","마운자로 가격","위고비 가격","마운자로 지도"
"상세페이지 우선","5","튼튼약국","약국","마포구","서울특별시","마포구","서울 마포구 대흥로24길 24","","","pharmacy_01_item","있음","있음","요양기관번호, 전화","/clinic/pharmacy_01_item-튼튼약국/","마포구 마운자로 가격","마포구 위고비 가격","마포구 마운자로 지도"
"상세페이지 우선","5","맑은약국","약국","서대문구","서울특별시","서대문구","서울 서대문구 신촌로 107, 세인빌딩1층","","","pharmacy_02_item","있음","있음","요양기관번호, 전화","/clinic/pharmacy_02_item-맑은약국/","서대문구 마운자로 가격","서대문구 위고비 가격","서대문구 마운자로 지도"
"상세페이지 우선","5","세란약국","약국","서대문구","서울특별시","서대문구","서울 서대문구 연세로 39 1층","","","pharmacy_03_item","있음","있음","요양기관번호, 전화","/clinic/pharmacy_03_item-세란약국/","서대문구 마운자로 가격","서대문구 위고비 가격","서대문구 마운자로 지도"
"지역 보강 후 가능","3","두리봄약국","약국","","","","","","","pharmacy_04_item","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/pharmacy_04_item-두리봄약국/","마운자로 가격","위고비 가격","마운자로 지도"
"지역 보강 후 가능","3","피크약국","약국","","","","","","","pharmacy_05_item","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/pharmacy_05_item-피크약국/","마운자로 가격","위고비 가격","마운자로 지도"
"지역 보강 후 가능","3","셀약국","약국","","","","","","","pharmacy_06_item","있음","있음","요양기관번호, 지역, 주소, 전화","/clinic/pharmacy_06_item-셀약국/","마운자로 가격","위고비 가격","마운자로 지도"
"보류","3","청심약국","약국","지우지말것/","","","지우지말것/","","","pharmacy_07_item","없음","있음","요양기관번호, 지역, 전화, 가격","/clinic/pharmacy_07_item-청심약국/","지우지말것/ 마운자로 가격","지우지말것/ 위고비 가격","지우지말것/ 마운자로 지도"
